document_id	topic_id	weight
13	56	6e-06
13	57	6e-06
13	58	3.3e-05
13	59	4.2e-05
13	60	1.7e-05
13	61	7e-06
13	62	3.5e-05
13	63	5e-06
13	64	2.5e-05
13	65	1e-05
13	66	5.3e-05
13	67	4e-06
13	68	2.5e-05
13	69	9e-06
13	70	1.2e-05
13	71	1e-05
13	72	1.4e-05
13	73	5e-06
13	74	8e-06
13	75	1.3e-05
13	76	5e-06
13	77	5e-06
13	78	2e-06
13	79	8e-06
13	80	7e-06
13	81	3e-06
13	82	1.8e-05
13	83	5e-06
13	84	2e-06
13	85	3e-06
13	86	1.1e-05
13	87	8e-06
13	88	5e-06
13	89	5e-06
13	90	5e-06
13	91	1.5e-05
13	92	9e-06
13	93	1e-05
13	94	1.5e-05
13	95	6e-06
13	96	1.2e-05
13	97	1e-05
13	98	6e-06
13	99	0.209792
13	100	1.2e-05
14	1	1.6e-05
14	2	2e-05
14	3	2.9e-05
14	4	0.281957
14	5	7e-06
14	6	3e-06
14	7	1.3e-05
14	8	0.023664
14	9	0.000209
14	10	1.6e-05
14	11	1.6e-05
14	12	0.015724
14	13	2.5e-05
14	14	4.3e-05
14	15	3.2e-05
14	16	2.7e-05
14	17	4.6e-05
14	18	6e-06
14	19	3.1e-05
14	20	6.7e-05
14	21	7.6e-05
14	22	1e-05
14	23	0.041854
14	24	3.8e-05
14	25	3.7e-05
14	26	0.038865
14	27	5.2e-05
14	28	6e-06
14	29	6e-06
14	30	6e-06
14	31	4.4e-05
14	32	3.2e-05
14	33	3.9e-05
14	34	1.9e-05
14	35	2.1e-05
14	36	3.6e-05
14	37	2.7e-05
14	38	1.1e-05
14	39	1.1e-05
14	40	1.4e-05
14	41	0.010419
14	42	4.8e-05
14	43	2.5e-05
14	44	0.000215
14	45	2.2e-05
14	46	1.4e-05
14	47	1.3e-05
14	48	9e-06
14	49	3.3e-05
14	50	1.3e-05
14	51	1e-05
14	52	1.7e-05
14	53	1e-05
14	54	6e-06
14	55	2.8e-05
14	56	1.7e-05
14	57	1.7e-05
14	58	0.00526
14	59	0.000111
14	60	4.6e-05
14	61	1.9e-05
14	62	9.4e-05
14	63	0.007772
14	64	0.499255
14	65	0.020719
14	66	0.000141
14	67	1e-05
14	68	6.7e-05
14	69	2.4e-05
14	70	3.2e-05
